,Department,zip_code,Variance,Distance,Cosine,Nouns_nb,Variance_std,Distance_std,Cosine_std
760,76,76520,292.76813924574117,1122.6129987519694,178.28380109124518,21,13.941339964082912,5.345776184533188,0.8489704813868818
761,13,13122,163.90029616216438,406.8454240800024,67.72750813755339,13,12.60771508939726,5.215966975384646,0.8683013863788895
762,35,35330,1328.3193011272342,25443.073668589925,4166.556654710695,100,13.283193011272342,5.1400148825434195,0.8417286171132716
763,80,80300,257.47782886400876,1131.9822543090932,189.9736814307138,22,11.703537675636762,4.900356079260144,0.8223968893104494
764,80,80500,225.30135713122954,716.7611092165363,111.34377596674585,17,13.253021007719385,5.270302273651002,0.8187042350496019
765,69,69006,119.18832050435363,267.2886250667482,47.46105195139564,11,10.835301864032148,4.859793183031785,0.8629282172981025
766,92,92160,123.18688275287654,234.23152403779844,38.04946679551883,10,12.318688275287654,5.205144978617743,0.8455437065670851
767,13,13600,191.90191123664988,661.1410438061272,113.8439476741975,17,11.288347719802934,4.8613312044568175,0.8370878505455698
768,93,93470,172.8242374488668,468.29070753865227,77.52251351846122,14,12.344588389204771,5.146051731193981,0.8518957529501233
769,59,59140,432.57148045378807,2601.734451377458,416.8557602306502,32,13.517858764180877,5.245432361648101,0.8404350004650206
770,60,60340,336.5509770471939,1673.5440299498366,276.1893502025759,26,12.944268347968997,5.149366245999497,0.8498133852386951
771,77,77166,388.0341797374331,2121.033571501615,338.0987464866185,29,13.380488956463209,5.2242206194621055,0.8327555332182721
772,38,38460,280.99714192612896,1106.748802277209,178.9974990133542,21,13.380816282196617,5.270232391796234,0.8523690429207343
773,36,36000,616.997666659821,5386.490846114871,892.6378878320286,46,13.41299275347437,5.204338981753498,0.8624520655381919
774,94,94300,598.25525400714,5444.0846218304205,921.0894239974374,47,12.728835191641277,5.0361559868921555,0.8520716225693223
775,29,29900,411.2539750491267,2416.764785517959,397.27835658898306,31,13.26625725964925,5.197343624769804,0.8543620571806088
776,9,9100,129.6086356579553,279.0947005208508,45.660804375765444,11,11.7826032416323,5.0744491003791055,0.8301964431957354
777,74,74000,304.7416818477494,1494.6136638966825,255.83600007426256,25,12.189667273909977,4.982045546322275,0.8527866669142086
778,27,27350,248.6249065508423,961.004547005911,158.38499463705236,20,12.431245327542115,5.057918668452164,0.8336052349318546
779,75,75017,117.01585169988425,193.68289607707536,26.563680136816483,9,13.00176129998714,5.380080446585427,0.7378800038004578
780,13,13727,181.24918766620158,477.5185479106299,77.71166713044704,14,12.946370547585827,5.247456570446482,0.8539743640708466
781,63,63220,930.049912461509,12165.107264883804,1975.580667668194,69,13.478984238572595,5.1854677173417745,0.8421059964485056
782,38,38950,227.80124229427005,720.4185289177141,110.83850588951267,17,13.400073076133532,5.297195065571427,0.8149890138934756
783,21,21120,301.4020018584967,1231.048212086329,189.39603067242527,22,13.700090993568033,5.329213039334757,0.8198962366771657
784,13,13008,484.1211558226155,3706.8648854200637,628.9261713410377,39,12.413362969810654,5.002516714467022,0.8487532676667175
785,6,6130,440.71759737620783,2625.363006799727,411.6357948654132,32,13.772424918006495,5.293070578225256,0.8299108767447846
786,93,93100,166.29572234239805,456.19661240235985,77.47127008472795,14,11.87826588159986,5.013149586839119,0.8513326382937138
787,92,92370,203.10305139676748,563.8318191234656,86.98202171454669,15,13.540203426451166,5.369826848794911,0.8284002068052065
788,63,63730,276.10370722708063,1176.3008987616474,181.49657962960754,22,12.550168510321846,5.092211682950855,0.78569947891605
789,84,84400,185.02463688406684,537.7220753602855,90.55012198672935,15,12.334975792271122,5.12116262247891,0.8623821141593272
790,91,91000,2241.4237366475754,72060.6355711282,12163.543878499735,168,13.341807956235568,5.136914426228129,0.8670903819860091
791,75,75015,1074.5352563839785,16954.87560292197,2829.926750426629,82,13.104088492487543,5.1053524850713545,0.8521309094931132
792,33,33590,279.98638244876935,1024.8969565434404,165.48662609353283,20,13.999319122438468,5.394194508123371,0.8709822425975412
793,69,69640,178.61881393573512,583.0460892623255,101.42429365975235,16,11.163675870983445,4.858717410519379,0.8452024471646029
794,44,44000,96.44106242674164,206.3472286791803,36.83879702633394,10,9.644106242674164,4.585493970648451,0.8186399339185321
795,83,83000,526.4785042185124,3882.5830002230873,636.500072779517,39,13.499448826115703,5.239653171691076,0.8589744571923307
796,94,94100,663.4768433574238,5954.250830718062,967.2788273781127,48,13.822434236612997,5.278591161984098,0.8575166909380432
